County,Age,Population estimate 2020
Alachua,Total,269820
Alachua,0-4,13989
Alachua,5-17,33938
Alachua,18-24,58699
Alachua,25-54,93583
Alachua,55-64,28656
Alachua,65-79,31526
Alachua,80+,9429
Baker,Total,28519
Baker,0-4,1890
Baker,5-17,4873
Baker,18-24,2577
Baker,25-54,11472
Baker,55-64,3658
Baker,65-79,3249
Baker,80+,800
Bay,Total,175256
Bay,0-4,10923
Bay,5-17,26908
Bay,18-24,14471
Bay,25-54,66984
Bay,55-64,24921
Bay,65-79,23108
Bay,80+,7941
Bradford,Total,28796
Bradford,0-4,1615
Bradford,5-17,4023
Bradford,18-24,2339
Bradford,25-54,11611
Bradford,55-64,3871
Bradford,65-79,3996
Bradford,80+,1341
Brevard,Total,602392
Brevard,0-4,29629
Brevard,5-17,81433
Brevard,18-24,43355
Brevard,25-54,200073
Brevard,55-64,103075
Brevard,65-79,104712
Brevard,80+,40115
Broward,Total,1941215
Broward,0-4,113010
Broward,5-17,293969
Broward,18-24,158879
Broward,25-54,768442
Broward,55-64,272132
Broward,65-79,248386
Broward,80+,86397
Calhoun,Total,14865
Calhoun,0-4,834
Calhoun,5-17,2189
Calhoun,18-24,1183
Calhoun,25-54,5808
Calhoun,55-64,2007
Calhoun,65-79,2148
Calhoun,80+,696
Charlotte,Total,184725
Charlotte,0-4,6229
Charlotte,5-17,17935
Charlotte,18-24,9362
Charlotte,25-54,48095
Charlotte,55-64,33556
Charlotte,65-79,49944
Charlotte,80+,19604
Citrus,Total,149398
Citrus,0-4,5554
Citrus,5-17,16522
Citrus,18-24,7644
Citrus,25-54,40445
Citrus,55-64,27040
Citrus,65-79,37807
Citrus,80+,14386
Clay,Total,219035
Clay,0-4,13016
Clay,5-17,39929
Clay,18-24,18249
Clay,25-54,84209
Clay,55-64,29032
Clay,65-79,27005
Clay,80+,7595
Collier,Total,384649
Collier,0-4,18744
Collier,5-17,51290
Collier,18-24,27082
Collier,25-54,120980
Collier,55-64,55504
Collier,65-79,78414
Collier,80+,32635
Columbia,Total,70546
Columbia,0-4,4205
Columbia,5-17,10758
Columbia,18-24,6395
Columbia,25-54,24977
Columbia,55-64,10247
Columbia,65-79,10829
Columbia,80+,3135
Desoto,Total,36332
Desoto,0-4,2096
Desoto,5-17,5660
Desoto,18-24,3363
Desoto,25-54,13710
Desoto,55-64,4498
Desoto,65-79,5335
Desoto,80+,1670
Dixie,Total,16696
Dixie,0-4,829
Dixie,5-17,2140
Dixie,18-24,1162
Dixie,25-54,5789
Dixie,55-64,2804
Dixie,65-79,3183
Dixie,80+,789
Duval,Total,985460
Duval,0-4,66215
Duval,5-17,158547
Duval,18-24,90581
Duval,25-54,396799
Duval,55-64,126528
Duval,65-79,113477
Duval,80+,33313
Escambia,Total,323998
Escambia,0-4,20088
Escambia,5-17,50319
Escambia,18-24,33399
Escambia,25-54,117657
Escambia,55-64,43624
Escambia,65-79,44448
Escambia,80+,14463
Flagler,Total,113398
Flagler,0-4,5242
Flagler,5-17,15480
Flagler,18-24,7094
Flagler,25-54,36853
Flagler,55-64,16531
Flagler,65-79,24385
